221,Sadar Hospital Aurangabad Blood Bank,Bihar,AURANGABAD,Aurangabad,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
222,Meera Nursing Home Blood Bank and Research Centre,Bihar,BEGUSARAI,Begusarai,9835642642,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
223,Rastra Kavi Dinkar Blood Bank,Bihar,BEGUSARAI,Begusarai,9431208750,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
224,Deshratna Rajendra Prasad Memorial Rotary Blood Bank,Bihar,BEGUSARAI,Begusarai ,"09431211796, 09835239088",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
225,Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank,Bihar,BHAGALPUR,Bhagalpur,9934456029,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
226,Sadar Hospital Ara (Bhojpur) Blood bank,Bihar,BHOJPUR,Ara,7870307773,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
227,Sadar Hospital Ara Blood Bank,Bihar,BHOJPUR,Ara,"09507840742, 09334466166",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
228,Maa Vindhyawasini Blood Bank ,Bihar,BHOJPUR,Arrah,"09835642642, 09430929650",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
229,Indian Red Cross Blood Bank (IRCS) Blood Bank,Bihar,BHOJPUR,Arrah,9386399967,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
230,Sadar Hospital Buxar Blood Bank,Bihar,BUXAR,Buxar,"09431235353, 09431083400",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
231,Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank,Bihar,DARBHANGA,Laheriasaria,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
232,"Indian Red Cross Society Blood Bank, Motihari",Bihar,EAST CHAMPARAN,Motihari,9430276423,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
233,Duncan Hospital Blood Bank,Bihar,EAST CHAMPARAN,Raxaul,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
234,Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank,Bihar,GAYA,Gaya,9570557188,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
235,Bhagwan Mahabir Blood Bank,Bihar,GAYA,Gaya,9931624863,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
236," Sadar Hospital, Gopalganj Blood Bank",Bihar,GOPALGANJ,Gopalganj,"09431283852, 9431218340, 9431057935, 9430421353",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
237,Sadar Hospital Jamui Blood Bank,Bihar,JAMUI,Jamui,"09431234087 , 09470003349, 09431251684, 0980196853",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
238,"Amar Saheed Jagdeo Prasad, Sadar Hospital Jehanabad Blood Bank ",Bihar,JEHANABAD,Jehanabad,9835407198,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
239,Sadar Hospital Kaimur (Bhabua) Blood Bank ,Bihar,KAIMUR (BHABUA),Bhasna,8877667831,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
240,Katihar Medical College Blood Bank,Bihar,KATIHAR,Katihar,"09431498105, 07739615664",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
241,"Sadar Hospital, Katihar Blood bank",Bihar,KATIHAR,Katihar,9431634656,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
242,Sadar Hospital Khagaria Blood Bank ,Bihar,KHAGARIA,Khagaria,9431689373,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
243,Mata Gujri Memorial Medical College & Lions Kenra Hospital Blood Bank ,Bihar,KISHANGANJ,Kishanganj,"082985 00055, 09430911111",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
244,Mata Gujri Memorial (MGM) Blood Bank,Bihar,KISHANGANJ,Kishanganj,9430911111,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
245,Sadar Hospital Kishanganj Blood Bank ,Bihar,KISHANGANJ,Kishanganj,"09470003401, 08544331639",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
246,Sadar Hospital Lakhisarai Blood Bank ,Bihar,LAKHISARAI,Lakhisarai,"09431418374, 09304065264",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
247,Sadar Hospital Madhepura Blood Bank ,Bihar,MADHEPURA,Madhepura,9430039619,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
248,Sadar Hospital Madhubani Blood Bank,Bihar,MADHUBANI,Madhubani,"09431451650, 09470003434",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
249,Sadar Hospital Muzaffarpur Blood Bank,Bihar,MUZAFFARPUR,Muzaffarpur,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
250,Sinha Blood Bank Muzaffarpur,Bihar,MUZAFFARPUR,Muzaffarpur,9693250208,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
251,Sri Krishna Medical College Hospital (SKMCH) Blood Bank ,Bihar,MUZAFFARPUR,Muzaffarpur,"099342 03205, 09431238638, 09934026607",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
252,Krishna Devi Devi Prasad Kejriwal Maternity Hospital Blood bank,Bihar,MUZAFFARPUR,Muzaffarpur,"09798454101, 09334905659",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
253,Sadar Hospital Muzaffarpur Blood Bank,Bihar,MUZAFFARPUR,Muzaffarpur,9431013092,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
254,Nalanda Blood Bank (A Unit of Janata Karah Kalyan Samaj),Bihar,NALANDA,Bihar Sharif,"096933 67443, 09835494030",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
255,"Red Cross Blood Bank, Sadar Hospital, Bihar Sharif",Bihar,NALANDA,Bihar Sharif,9709456019,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
256,Sadar Hospital Nawada Blood Bank ,Bihar,NAWADA,Nawada,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
257, Hitech Emergency Hospital Blood Bank ,Bihar,PATNA,Danapur,"08102262107,09708036409, 09708036576",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
258,Bharat Blood Bank,Bihar,PATNA,Patna,093341 51682,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
259,Kurji Holy Family Hospital Blood Bank,Bihar,PATNA,Patna,9430254273,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
260,National Blood Bank & Resarch Center,Bihar,PATNA,Patna,"09931764857, 09939679116",Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
261,Nalanda Medical College and Hospital Blood Bank,Bihar,PATNA,Patna,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
262,Military Hospital Blood Bank,Bihar,PATNA,Patna,N/A,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
263,Lions Mahavir Cancer Sansthan Blood Bank,Bihar,PATNA,Patna,"07091490890, 09431422042",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
264,Tripolia Social Service Hospital and Blood Bank,Bihar,PATNA,Patna,N/A,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
265,Shashi Blood Bank,Bihar,PATNA,Patna,9334198720,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
266,Patliputra Blood Bank,Bihar,PATNA,Patna,9334128177,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
267,Bihar State Patna Medical College and Hospital (PMCH) Blood Bank,Bihar,PATNA,Patna,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
268,Indian Red Cross Society (IRCS) Patna Blood Bank,Bihar,PATNA,Patna,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
269,Jaiprabha Hospital Model Blood Bank (MBB),Bihar,PATNA,Patna,9431619736,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
270,Palm View Hospital Blood Bank,Bihar,PATNA,Patna,8968639027,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
271,Lions Jeewan Blood Bank ,Bihar,PATNA,Patna,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
272,Paras HMRI Hospital Blood Bank,Bihar,PATNA,Patna,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
273,Indira Gandhi Institute of Medical Sciences (IGIMS) Blood Bank ,Bihar,PATNA,Patna,"08544413216, 09471665716",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
274,Life Line Blood Bank,Bihar,PATNA,Patna,9234990509,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
275, Vaatsalya Blood Bank,Bihar,PATNA,Patna,9304028101,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
276,Paras Hmri Hospital Blood Bank,Bihar,PATNA,Patna,N/A,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
277,Ruban Memorial Hospital Blood Bank,Bihar,PATNA,Patna,8406003104,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
278,Jeevan Rekha Blood Bank,Bihar,PATNA,Patna,"09334123578, 09334978582, 09334123518",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
279,Indian Red Cross Society (IRCS) Blood Bank,Bihar,PURNIA,Purnia ,"09431025636, 09430970469, 09431268348, 09934559934",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
280,Sadar Hospital Purnia  Blood Bank ,Bihar,PURNIA,Purnia," 09939213483, 09431268348, 09334510634, 0943127662",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
