1,G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,9434266561,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
2,I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,8001452200,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,9474247585,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
4,"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,9441192365,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
5,Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,9866695858,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
6,Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,Dist.Secretary 9866023293,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
7,Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,9493268861,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
8,South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,9701374501,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
9,Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,NA,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,9989738689,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
11,S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,9490360321,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
12,District Head Quarters Hospital Blood Bank. ,Andhra Pradesh,CHITTOOR,Chittoor,9849229482,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
13,Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
14,M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,9849229482,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
15,M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,9391833741,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
16,Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli, ,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
17,"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,9440580272,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
18,"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,9490651605,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
19,SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,NA,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
21,Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,9949190197,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
22, TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,9849099750,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
23,S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,9246999571,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
24,Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,9989106236,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,9949993495,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,"09505152234, 09491219991",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
27,"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,9390207027,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
28,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,9848071868,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
29,M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,Kakinada,9494673434,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
30,District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,9849520969,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
31,M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
32,"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,9885186533,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"09849030908, 09505615556",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,"09347911130, 09948456739",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
